## Fri Dec  2 12:43:26 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dtjj1h_k --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dtjj1h_k --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_dtjj1h_k/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene-OL67_RS00085	1423144.Gal_00018	0.0	887.0	COG0161@1|root,COG0161@2|Bacteria,1MU2N@1224|Proteobacteria,2TQND@28211|Alphaproteobacteria,34F6T@302485|Phaeobacter	28211|Alphaproteobacteria	E	Aminotransferase class-III	-	-	-	-	-	-	-	-	-	-	-	-	Aminotran_3
gene-OL67_RS00090	391619.PGA1_c32290	9.25e-179	499.0	COG1414@1|root,COG1414@2|Bacteria,1R6KN@1224|Proteobacteria,2U0B7@28211|Alphaproteobacteria,34FTU@302485|Phaeobacter	28211|Alphaproteobacteria	K	helix_turn_helix isocitrate lyase regulation	-	-	-	-	-	-	-	-	-	-	-	-	HTH_IclR,IclR
gene-OL67_RS00095	391619.PGA1_c32280	5.52e-214	592.0	COG3181@1|root,COG3181@2|Bacteria,1MWSC@1224|Proteobacteria,2TR7E@28211|Alphaproteobacteria,34FB0@302485|Phaeobacter	28211|Alphaproteobacteria	S	Tripartite tricarboxylate transporter family receptor	-	-	-	-	-	-	-	-	-	-	-	-	TctC
gene-OL67_RS00100	391619.PGA1_c32270	2.48e-118	339.0	2BVI3@1|root,32QWF@2|Bacteria,1RJA0@1224|Proteobacteria,2U9P8@28211|Alphaproteobacteria,34FW7@302485|Phaeobacter	28211|Alphaproteobacteria	S	Tripartite tricarboxylate transporter TctB family	-	-	-	-	-	-	-	-	-	-	-	-	TctB
gene-OL67_RS00105	1423144.Gal_00022	0.0	927.0	COG3333@1|root,COG3333@2|Bacteria,1MUKR@1224|Proteobacteria,2TR4Q@28211|Alphaproteobacteria,34DZW@302485|Phaeobacter	28211|Alphaproteobacteria	S	Tripartite tricarboxylate transporter TctA family	-	-	-	ko:K07793	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	2.A.80.1	-	-	TctA
gene-OL67_RS00110	1423144.Gal_00023	0.0	917.0	COG1012@1|root,COG1012@2|Bacteria,1MU1V@1224|Proteobacteria,2TQR1@28211|Alphaproteobacteria,34DWY@302485|Phaeobacter	28211|Alphaproteobacteria	C	Aldehyde dehydrogenase family	puuC	-	1.2.1.3,1.2.1.99	ko:K00128,ko:K09472	ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130	M00135,M00136	R00264,R00631,R00710,R00904,R01752,R01986,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R07417,R07418,R08146	RC00047,RC00071,RC00080,RC00186,RC00218,RC00242,RC00816,RC01500	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldedh
gene-OL67_RS00115	1423144.Gal_00024	4.82e-293	801.0	COG5441@1|root,COG5441@2|Bacteria,1MX45@1224|Proteobacteria,2TUHA@28211|Alphaproteobacteria,34FA5@302485|Phaeobacter	28211|Alphaproteobacteria	S	Uncharacterised protein family (UPF0261)	-	-	-	-	-	-	-	-	-	-	-	-	UPF0261
gene-OL67_RS00120	391619.PGA1_c32230	5.21e-80	238.0	COG3232@1|root,COG3232@2|Bacteria,1RB8A@1224|Proteobacteria,2U5N5@28211|Alphaproteobacteria,34FU0@302485|Phaeobacter	28211|Alphaproteobacteria	G	5-carboxymethyl-2-hydroxymuconate isomerase	hpcD	-	5.3.3.10	ko:K01826	ko00350,ko01120,ko01220,map00350,map01120,map01220	M00533	R04379,R04482	RC01141,RC01162	ko00000,ko00001,ko00002,ko01000	-	-	-	CHMI
gene-OL67_RS00125	391619.PGA1_c32220	0.0	981.0	COG1012@1|root,COG1012@2|Bacteria,1MU1V@1224|Proteobacteria,2TQR1@28211|Alphaproteobacteria,34F09@302485|Phaeobacter	28211|Alphaproteobacteria	C	Aldehyde dehydrogenase family	hpaE	-	1.2.1.60,1.2.1.8	ko:K00130,ko:K00151	ko00260,ko00350,ko01100,ko01120,ko01220,map00260,map00350,map01100,map01120,map01220	M00533,M00555	R02565,R02566,R04418	RC00080,RC00254	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldedh
gene-OL67_RS00130	1423144.Gal_00027	5.35e-248	679.0	COG0346@1|root,COG0346@2|Bacteria,1MUWY@1224|Proteobacteria,2TTMJ@28211|Alphaproteobacteria,34E4U@302485|Phaeobacter	28211|Alphaproteobacteria	E	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	hpaD	-	1.13.11.2	ko:K00446	ko00361,ko00362,ko00622,ko00643,ko01100,ko01120,ko01220,map00361,map00362,map00622,map00643,map01100,map01120,map01220	M00569	R00816,R04089,R05295,R05404,R05406,R07795	RC00387,RC00643,RC01075,RC01364,RC01914	br01602,ko00000,ko00001,ko00002,ko01000	-	-	-	Glyoxalase
gene-OL67_RS00135	1423144.Gal_00028	6.12e-196	544.0	COG0179@1|root,COG0179@2|Bacteria,1MUPF@1224|Proteobacteria,2TQMB@28211|Alphaproteobacteria,34E8X@302485|Phaeobacter	28211|Alphaproteobacteria	Q	Fumarylacetoacetate (FAA) hydrolase family	-	-	-	-	-	-	-	-	-	-	-	-	FAA_hydrolase
gene-OL67_RS00140	1423144.Gal_00029	6.29e-180	502.0	COG3971@1|root,COG3971@2|Bacteria,1MVVV@1224|Proteobacteria,2TUWC@28211|Alphaproteobacteria,34ENJ@302485|Phaeobacter	28211|Alphaproteobacteria	Q	hydratase'	hpaH	-	-	ko:K02509	ko00350,ko01120,map00350,map01120	-	R04132,R06897	RC01615,RC02595	ko00000,ko00001,ko01000	-	-	-	FAA_hydrolase
gene-OL67_RS00145	1423144.Gal_00030	8.52e-221	610.0	COG2931@1|root,COG2931@2|Bacteria,1R9SS@1224|Proteobacteria,2U2B2@28211|Alphaproteobacteria,34G5H@302485|Phaeobacter	28211|Alphaproteobacteria	Q	Hint domain	-	-	-	-	-	-	-	-	-	-	-	-	Hint_2
gene-OL67_RS00150	391619.PGA1_c32170	4.57e-32	112.0	2ADBW@1|root,3131B@2|Bacteria,1PRKR@1224|Proteobacteria,2V3VR@28211|Alphaproteobacteria,34GKC@302485|Phaeobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gene-OL67_RS00155	1423144.Gal_00032	1.69e-228	628.0	COG1054@1|root,COG1054@2|Bacteria,1MUFV@1224|Proteobacteria,2TUB5@28211|Alphaproteobacteria,34DR9@302485|Phaeobacter	28211|Alphaproteobacteria	S	Rhodanese Homology Domain	yceA	-	-	ko:K07146	-	-	-	-	ko00000	-	-	-	Rhodanese
gene-OL67_RS00160	1423144.Gal_00033	1.69e-129	369.0	COG1335@1|root,COG1335@2|Bacteria,1MUGW@1224|Proteobacteria,2TRMB@28211|Alphaproteobacteria,34DY1@302485|Phaeobacter	28211|Alphaproteobacteria	Q	Isochorismatase family	pncA	-	3.5.1.19	ko:K08281	ko00760,ko01100,map00760,map01100	-	R01268	RC00100	ko00000,ko00001,ko01000	-	-	-	Isochorismatase
gene-OL67_RS00165	1423144.Gal_00034	0.0	1348.0	COG0745@1|root,COG5002@1|root,COG0745@2|Bacteria,COG5002@2|Bacteria,1R5EN@1224|Proteobacteria,2V7GX@28211|Alphaproteobacteria,34DSU@302485|Phaeobacter	28211|Alphaproteobacteria	T	Motif C-terminal to PAS motifs (likely to contribute to PAS structural domain)	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HisKA,PAS,Response_reg
gene-OL67_RS00170	1423144.Gal_00035	0.0	868.0	COG1488@1|root,COG1488@2|Bacteria,1MV8U@1224|Proteobacteria,2TREY@28211|Alphaproteobacteria,34E72@302485|Phaeobacter	28211|Alphaproteobacteria	F	Catalyzes the synthesis of beta-nicotinate D- ribonucleotide from nicotinate and 5-phospho-D-ribose 1-phosphate at the expense of ATP	pncB	-	6.3.4.21	ko:K00763	ko00760,ko01100,map00760,map01100	-	R01724	RC00033	ko00000,ko00001,ko01000	-	-	-	NAPRTase
gene-OL67_RS00175	1423144.Gal_00036	0.0	927.0	COG1012@1|root,COG1012@2|Bacteria,1MU1V@1224|Proteobacteria,2TQR1@28211|Alphaproteobacteria,34EM5@302485|Phaeobacter	28211|Alphaproteobacteria	C	Aldehyde dehydrogenase family	puuC	-	1.2.1.3	ko:K00128	ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130	M00135	R00264,R00631,R00710,R00904,R01752,R01986,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R08146	RC00047,RC00071,RC00080,RC00186,RC00218,RC00242,RC00816,RC01500	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldedh
gene-OL67_RS00180	391619.PGA1_c32110	3.15e-108	311.0	COG5628@1|root,COG5628@2|Bacteria,1RES5@1224|Proteobacteria,2U8ZU@28211|Alphaproteobacteria,34GAE@302485|Phaeobacter	28211|Alphaproteobacteria	S	Acetyltransferase (GNAT) family	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_1
gene-OL67_RS00185	1423144.Gal_00038	0.0	973.0	COG1123@1|root,COG4172@2|Bacteria,1MU09@1224|Proteobacteria,2TQP0@28211|Alphaproteobacteria,34EA5@302485|Phaeobacter	28211|Alphaproteobacteria	P	Oligopeptide/dipeptide transporter, C-terminal region	gsiA5	-	-	ko:K02031,ko:K02032,ko:K13892,ko:K13896	ko02010,ko02024,map02010,map02024	M00239,M00348,M00349	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5,3.A.1.5.11,3.A.1.5.21,3.A.1.5.24	-	-	ABC_tran,oligo_HPY
gene-OL67_RS00190	1423144.Gal_00039	1.5e-169	476.0	COG1173@1|root,COG1173@2|Bacteria,1MWMX@1224|Proteobacteria,2TQZR@28211|Alphaproteobacteria,34EPA@302485|Phaeobacter	28211|Alphaproteobacteria	U	Binding-protein-dependent transport system inner membrane component	MA20_14685	-	-	ko:K02034	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	BPD_transp_1
gene-OL67_RS00195	1423144.Gal_00040	9.46e-211	584.0	COG0601@1|root,COG0601@2|Bacteria,1MU8Z@1224|Proteobacteria,2TRH6@28211|Alphaproteobacteria,34F9A@302485|Phaeobacter	28211|Alphaproteobacteria	U	Binding-protein-dependent transport system inner membrane component	gsiC	-	-	ko:K02033	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	BPD_transp_1
gene-OL67_RS00200	1423144.Gal_00041	1.08e-283	776.0	COG0123@1|root,COG0123@2|Bacteria,1MU7P@1224|Proteobacteria,2TRGU@28211|Alphaproteobacteria,34F1Z@302485|Phaeobacter	28211|Alphaproteobacteria	BQ	Histone deacetylase domain	acuC	-	-	ko:K04768	-	-	-	-	ko00000	-	-	-	Hist_deacetyl
gene-OL67_RS00205	1423144.Gal_00042	0.0	959.0	COG0747@1|root,COG0747@2|Bacteria,1MUZH@1224|Proteobacteria,2TU1J@28211|Alphaproteobacteria,34EX5@302485|Phaeobacter	28211|Alphaproteobacteria	E	Bacterial extracellular solute-binding proteins, family 5 Middle	gsiB	-	-	ko:K02035	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	SBP_bac_5
gene-OL67_RS00210	1423144.Gal_00043	3.15e-179	502.0	COG0413@1|root,COG0413@2|Bacteria,1MU3B@1224|Proteobacteria,2TQT1@28211|Alphaproteobacteria,34E3J@302485|Phaeobacter	28211|Alphaproteobacteria	H	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate	panB	-	2.1.2.11	ko:K00606	ko00770,ko01100,ko01110,map00770,map01100,map01110	M00119	R01226	RC00022,RC00200	ko00000,ko00001,ko00002,ko01000	-	-	-	Pantoate_transf
gene-OL67_RS00215	391619.PGA1_c32040	1.43e-190	530.0	COG0414@1|root,COG0414@2|Bacteria,1MV1S@1224|Proteobacteria,2TS2D@28211|Alphaproteobacteria,34EXE@302485|Phaeobacter	28211|Alphaproteobacteria	H	Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate	panC	-	6.3.2.1	ko:K01918	ko00410,ko00770,ko01100,ko01110,map00410,map00770,map01100,map01110	M00119	R02473	RC00096,RC00141	ko00000,ko00001,ko00002,ko01000	-	-	-	Pantoate_ligase
gene-OL67_RS00220	391619.PGA1_c32030	0.0	985.0	COG0554@1|root,COG0554@2|Bacteria,1MUP7@1224|Proteobacteria,2TRD7@28211|Alphaproteobacteria,34ET5@302485|Phaeobacter	28211|Alphaproteobacteria	F	Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate	glpK	GO:0003674,GO:0003824,GO:0004370,GO:0005975,GO:0006066,GO:0006071,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019400,GO:0019751,GO:0044237,GO:0044238,GO:0044262,GO:0044281,GO:0071704,GO:1901615	2.7.1.30	ko:K00864	ko00561,ko01100,ko03320,ko04626,map00561,map01100,map03320,map04626	-	R00847	RC00002,RC00017	ko00000,ko00001,ko01000,ko04147	-	-	-	FGGY_C,FGGY_N
gene-OL67_RS00225	391619.PGA1_c32020	8.76e-300	818.0	COG0654@1|root,COG0654@2|Bacteria,1MXEW@1224|Proteobacteria,2TRRC@28211|Alphaproteobacteria,34DZ7@302485|Phaeobacter	28211|Alphaproteobacteria	CH	FAD binding domain	MA20_42420	-	1.14.13.218	ko:K20940	ko00405,ko01130,map00405,map01130	M00835	-	-	ko00000,ko00001,ko00002,ko01000	-	-	-	FAD_binding_3
gene-OL67_RS00230	1423144.Gal_00047	2.7e-137	387.0	COG1443@1|root,COG1443@2|Bacteria,1R9YJ@1224|Proteobacteria,2U5P8@28211|Alphaproteobacteria,34EE1@302485|Phaeobacter	28211|Alphaproteobacteria	I	Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its highly electrophilic allylic isomer, dimethylallyl diphosphate (DMAPP)	idi	GO:0003674,GO:0003824,GO:0004452,GO:0006629,GO:0006720,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0016853,GO:0016860,GO:0016863,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0071704,GO:1901576	5.3.3.2	ko:K01823	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00095,M00096,M00364,M00365,M00366,M00367	R01123	RC00455	ko00000,ko00001,ko00002,ko01000	-	-	-	NUDIX
gene-OL67_RS00235	1423144.Gal_00048	6.13e-100	290.0	COG3474@1|root,COG3474@2|Bacteria,1N0S1@1224|Proteobacteria,2UC0E@28211|Alphaproteobacteria,34FJ2@302485|Phaeobacter	28211|Alphaproteobacteria	C	cytochrome	cycA	-	-	ko:K08738	ko00920,ko01100,ko01120,ko01524,ko02020,ko04115,ko04210,ko04214,ko04215,ko04932,ko05010,ko05012,ko05014,ko05016,ko05134,ko05145,ko05152,ko05161,ko05164,ko05167,ko05168,ko05200,ko05210,ko05222,ko05416,map00920,map01100,map01120,map01524,map02020,map04115,map04210,map04214,map04215,map04932,map05010,map05012,map05014,map05016,map05134,map05145,map05152,map05161,map05164,map05167,map05168,map05200,map05210,map05222,map05416	M00595	R10151	RC03151,RC03152	ko00000,ko00001,ko00002	3.D.4.6	-	-	Cytochrom_C
gene-OL67_RS00240	391619.PGA1_c31990	8.59e-229	632.0	COG3191@1|root,COG3191@2|Bacteria,1MWDP@1224|Proteobacteria,2TRDC@28211|Alphaproteobacteria,34EA2@302485|Phaeobacter	28211|Alphaproteobacteria	EQ	Peptidase family S58	-	-	3.4.11.19	ko:K01266	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_S58
gene-OL67_RS00245	391619.PGA1_c31980	8.52e-167	468.0	COG1028@1|root,COG1028@2|Bacteria,1MUFX@1224|Proteobacteria,2TRWN@28211|Alphaproteobacteria,34ECM@302485|Phaeobacter	28211|Alphaproteobacteria	IQ	KR domain	fabG	-	1.1.1.100	ko:K00059	ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212	M00083,M00572	R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671	RC00029,RC00117	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	adh_short_C2
gene-OL67_RS00250	1423144.Gal_00051	7.3e-88	259.0	COG1186@1|root,COG1186@2|Bacteria,1RH75@1224|Proteobacteria,2U9M7@28211|Alphaproteobacteria,34FFR@302485|Phaeobacter	28211|Alphaproteobacteria	J	Mitochondrial ribosomal subunit protein	MA20_05665	GO:0003674,GO:0003676,GO:0003723,GO:0003747,GO:0003824,GO:0004045,GO:0005488,GO:0006412,GO:0006414,GO:0006415,GO:0006417,GO:0006518,GO:0006807,GO:0008079,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010608,GO:0016043,GO:0016150,GO:0016787,GO:0016788,GO:0019222,GO:0019538,GO:0022411,GO:0031323,GO:0031326,GO:0032268,GO:0032984,GO:0034248,GO:0034641,GO:0034645,GO:0043021,GO:0043022,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044877,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0052689,GO:0060255,GO:0065007,GO:0071704,GO:0071840,GO:0072344,GO:0080090,GO:0097159,GO:0140098,GO:0140101,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:2000112	-	ko:K15034	-	-	-	-	ko00000,ko03012	-	-	-	RF-1
gene-OL67_RS00255	1423144.Gal_00052	2.39e-138	392.0	COG1738@1|root,COG1738@2|Bacteria,1MVQU@1224|Proteobacteria,2TRYN@28211|Alphaproteobacteria,34F84@302485|Phaeobacter	28211|Alphaproteobacteria	U	Involved in the import of queuosine (Q) precursors, required for Q precursor salvage	yhhQ	GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006725,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0008616,GO:0009058,GO:0009116,GO:0009119,GO:0009163,GO:0009987,GO:0016020,GO:0018130,GO:0019438,GO:0034404,GO:0034641,GO:0034654,GO:0042455,GO:0043094,GO:0043174,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044464,GO:0046116,GO:0046483,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071702,GO:0071704,GO:0071705,GO:0071944,GO:0072531,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659,GO:1990397	-	ko:K09125	-	-	-	-	ko00000	-	-	-	Vut_1
gene-OL67_RS00260	1423144.Gal_00053	2.17e-213	590.0	COG4246@1|root,COG4246@2|Bacteria,1N7Y1@1224|Proteobacteria,2TTZW@28211|Alphaproteobacteria,34ESH@302485|Phaeobacter	28211|Alphaproteobacteria	S	Esterase-like activity of phytase	-	-	-	-	-	-	-	-	-	-	-	-	Phytase-like
gene-OL67_RS00265	1423144.Gal_00054	2.22e-230	633.0	COG3770@1|root,COG3770@2|Bacteria,1MU9I@1224|Proteobacteria,2TR3K@28211|Alphaproteobacteria,34EK7@302485|Phaeobacter	28211|Alphaproteobacteria	M	Penicillin-insensitive murein endopeptidase	mepA	-	-	ko:K07261	-	-	-	-	ko00000,ko01000,ko01002,ko01011	-	-	-	Peptidase_M74
